Fetching supported pairs from Indodax...
Found 485 pairs:
Ticker ID       | Description          | Base Currency | Traded Currency
-----------------------------------------------------------------
btc_idr         | BTC/IDR              | idr        | btc       
1inch_idr       | 1INCH/IDR            | idr        | 1inch     
aave_idr        | AAVE/IDR             | idr        | aave      
ab_idr          | AB/IDR               | idr        | ab        
abyss_idr       | ABYSS/IDR            | idr        | abyss     
ace_idr         | ACE/IDR              | idr        | ace       
ach_idr         | ACH/IDR              | idr        | ach       
acs_idr         | ACS/IDR              | idr        | acs       
actsol_idr      | ACT/IDR              | idr        | actsol    
ada_idr         | ADA/IDR              | idr        | ada       
aero_idr        | AERO/IDR             | idr        | aero      
aevo_idr        | AEVO/IDR             | idr        | aevo      
agi_idr         | AGI/IDR              | idr        | agi       
ai_idr          | AI/IDR               | idr        | ai        
aih_idr         | AIH/IDR              | idr        | aih       
aioz_idr        | AIOZ/IDR             | idr        | aioz      
aitech_idr      | AITECH/IDR           | idr        | aitech    
aixbt_idr       | AIXBT/IDR            | idr        | aixbt     
ale_idr         | ALE/IDR              | idr        | ale       
alice_idr       | ALICE/IDR            | idr        | alice     
alif_idr        | ALIF/IDR             | idr        | alif      
algo_idr        | ALGO/IDR             | idr        | algo      
altlayer_idr    | ALT/IDR              | idr        | altlayer  
alt_idr         | ALITAS/IDR           | idr        | alt       
amp_idr         | AMP/IDR              | idr        | amp       
andy_idr        | ANDY/IDR             | idr        | andy      
anime_idr       | ANIME/IDR            | idr        | anime     
ankr_idr        | ANKR/IDR             | idr        | ankr      
anoa_idr        | ANOA/IDR             | idr        | anoa      
ape_idr         | APE/IDR              | idr        | ape       
api3_idr        | API3/IDR             | idr        | api3      
apu_idr         | APU/IDR              | idr        | apu       
arb_idr         | ARB/IDR              | idr        | arb       
arkm_idr        | ARKM/IDR             | idr        | arkm      
asetqu_idr      | ASETQU/IDR           | idr        | asetqu    
aster_idr       | ASTER/IDR            | idr        | aster     
ath_idr         | ATH/IDR              | idr        | ath       
atom_idr        | ATOM/IDR             | idr        | atom      
att_idr         | ATT/IDR              | idr        | att       
auction_idr     | AUCTION/IDR          | idr        | auction   
audio_idr       | AUDIO/IDR            | idr        | audio     
aura_idr        | AURA/IDR             | idr        | aura      
ausd_idr        | AUSD/IDR             | idr        | ausd      
ava_idr         | AVA/IDR              | idr        | ava       
avnt_idr        | AVNT/IDR             | idr        | avnt      
avax_idr        | AVAX/IDR             | idr        | avax      
axl_idr         | AXL/IDR              | idr        | axl       
axs_idr         | AXS/IDR              | idr        | axs       
buildon_idr     | B/IDR                | idr        | buildon   
b2_idr          | B2/IDR               | idr        | b2        
badger_idr      | BADGER/IDR           | idr        | badger    
bake_idr        | BAKE/IDR             | idr        | bake      
bal_idr         | BAL/IDR              | idr        | bal       
ban_idr         | BAN/IDR              | idr        | ban       
banana_idr      | BANANA/IDR           | idr        | banana    
band_idr        | BAND/IDR             | idr        | band      
bat_idr         | BAT/IDR              | idr        | bat       
bcd_idr         | BCD/IDR              | idr        | bcd       
bch_idr         | BCH/IDR              | idr        | bch       
beam_idr        | BEAM/IDR             | idr        | beam      
beta_idr        | BETA/IDR             | idr        | beta      
bgb_idr         | BGB/IDR              | idr        | bgb       
bico_idr        | BICO/IDR             | idr        | bico      
bio_idr         | BIO/IDR              | idr        | bio       
blur_idr        | BLUR/IDR             | idr        | blur      
bmt_idr         | BMT/IDR              | idr        | bmt       
bnb_idr         | BNB/IDR              | idr        | bnb       
bnxnew_idr      | FORM/IDR             | idr        | bnxnew    
bome_idr        | BOME/IDR             | idr        | bome      
bond_idr        | BOND/IDR             | idr        | bond      
bone_idr        | BONE/IDR             | idr        | bone      
bonk_idr        | BONK/IDR             | idr        | bonk      
br_idr          | BR/IDR               | idr        | br        
